City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,gushikawa,26.3544,127.8686,76.59,71,40,13.8,JP,1680749369
130,mullovka,54.2,49.4,40.82,88,4,9.89,RU,1680749386
131,vao,-22.6667,167.4833,77.31,81,24,25.61,NC,1680749350
132,dubti,11.7361,41.0853,79.83,69,34,8.23,ET,1680749386
133,mahebourg,-20.4081,57.7,75.25,94,20,2.3,MU,1680749336
134,jizan,17.3333,42.6667,83.34,66,50,1.57,SA,1680749386
135,somerville,42.3876,-71.0995,42.64,90,100,9.22,US,1680749275
136,padang,-0.9492,100.3543,84.25,67,92,3.04,ID,1680749340
137,havre-saint-pierre,50.2334,-63.5986,28.4,54,100,3.44,CA,1680749349
138,lompoc,34.6391,-120.4579,53.94,81,0,17.27,US,1680749386
139,xining,36.6167,101.7667,36.7,19,5,2.35,CN,1680749353
140,arraial do cabo,-22.9661,-42.0278,75.56,84,11,2.59,BR,1680749328
141,kesova gora,57.5836,37.2922,35.64,89,100,10.07,RU,1680749387
142,cabo san lucas,22.8909,-109.9124,71.51,73,40,4.61,MX,1680749062
143,mayor pablo lagerenza,-19.9309,-60.7718,69.28,96,100,6.15,PY,1680749387
144,sirjan,29.452,55.6814,55.92,35,0,7.02,IR,1680749387
145,tateyama,34.9833,139.8667,67.93,68,75,17.27,JP,1680749387
146,anloga,5.7947,0.8973,81.41,82,94,11.03,GH,1680749387
147,rezekne,56.5,27.3167,33.58,97,100,7.96,LV,1680749387
148,bengkulu,-3.8004,102.2655,81.5,68,79,3.62,ID,1680749328
149,luderitz,-26.6481,15.1594,65.01,74,51,4.18,NA,1680749348
150,makinsk,52.6292,70.4169,41.94,63,6,7.61,KZ,1680749387
151,bowen,-20.0167,148.2333,81.81,72,2,7.87,AU,1680749339
152,rahon,31.05,76.1167,75.97,30,66,1.83,IN,1680749387
153,kahului,20.8947,-156.47,79.97,70,0,23.02,US,1680749356
154,presidencia roque saenz pena,-26.7852,-60.4388,66.47,91,100,4.47,AR,1680749387
155,pevek,69.7008,170.3133,0.34,76,7,1.52,RU,1680749355
156,bambous virieux,-20.3428,57.7575,75.22,94,20,2.3,MU,1680749334
157,tual,-5.6667,132.75,80.08,84,100,19.75,ID,1680749342
158,vera cruz,-12.6333,-41.0333,71.17,95,93,1.66,BR,1680749211
159,maumere,-8.6199,122.2111,83.98,70,94,1.45,ID,1680749388
160,aleksandrovka,46.8383,32.7612,39.13,91,100,16.53,UA,1680749388
161,marovoay,-16.1,46.6333,73.9,94,98,5.12,MG,1680749388
162,saskylakh,71.9167,114.0833,4.89,91,100,7.25,RU,1680749339
163,labuhan,-6.8844,112.2051,84.42,70,62,6.02,ID,1680749362
164,xinye,32.5186,112.3522,61.11,37,100,14.9,CN,1680749388
165,cherskiy,68.75,161.3,24.17,75,20,7.85,RU,1680749352
166,husavik,66.0449,-17.3389,30.24,96,100,3.15,IS,1680749338
167,san patricio,28.017,-97.5169,65.17,56,100,19.44,US,1680749364
168,carnarvon,-24.8667,113.6333,76.73,53,1,12.77,AU,1680749333
169,muzhi,65.3667,64.6667,-1.61,81,98,10.89,RU,1680749358
170,isangel,-19.55,169.2667,83.97,72,0,15.03,VU,1680749341
171,leningradskiy,69.3833,178.4167,-3.84,91,27,9.08,RU,1680749328
172,pishva,35.308,51.7267,62.02,29,19,1.97,IR,1680749388
173,hajiganj,23.2511,90.8592,85.28,63,0,5.1,BD,1680749389
174,shingu,33.7333,135.9833,62.73,90,100,10.69,JP,1680749389
175,fortuna,40.5982,-124.1573,50.67,75,97,4.29,US,1680749332
176,ayr,55.4627,-4.6339,47.32,93,75,8.05,GB,1680749219
177,faya,18.3851,42.4509,55.92,75,81,2.01,SA,1680749367
178,mananjary,-21.2167,48.3333,73.98,91,100,3.22,MG,1680749389
179,sao jose dos pinhais,-25.5347,-49.2064,63.25,68,75,4.61,BR,1680749389
180,yumen,40.2833,97.2,42.62,15,0,4.14,CN,1680749389
181,batemans bay,-35.7167,150.1833,71.1,53,98,8.46,AU,1680749389
182,tandil,-37.3217,-59.1332,55.6,95,31,9.17,AR,1680749386
183,tay ninh,11.3,106.1,91.8,46,12,7.27,VN,1680749389
184,mount gambier,-37.8333,140.7667,77.31,32,99,3.89,AU,1680749362
185,bredasdorp,-34.5322,20.0403,63.93,66,0,3.2,ZA,1680749331
186,poum,-20.2333,164.0167,79.88,74,23,17.54,NC,1680749389
187,san jeronimo,-11.9472,-75.2829,49.06,87,98,3.0,PE,1680749375
188,santa helena de goias,-17.8136,-50.5969,68.81,84,28,1.68,BR,1680749327
189,lalmohan,22.3384,90.7419,82.63,74,2,4.12,BD,1680749390
190,pengcheng,36.4311,114.17,60.91,25,34,15.64,CN,1680749390
191,mutare,-18.9707,32.6709,56.88,97,61,0.07,ZW,1680749390
192,palmer,42.1584,-72.3287,41.83,85,100,6.91,US,1680749390
193,katsuura,35.1333,140.3,68.02,73,100,24.81,JP,1680749390
194,fethiye,36.6217,29.1164,44.47,74,44,4.9,TR,1680749390
195,vardo,70.3705,31.1107,33.78,80,20,20.71,NO,1680749390
196,fuerte olimpo,-21.0415,-57.8738,69.57,98,100,2.8,PY,1680749390
197,priladozhskiy,59.85,31.4833,33.84,95,100,5.37,RU,1680749390
198,pisco,-13.7,-76.2167,77.05,78,0,3.44,PE,1680749361
199,vestmanna,62.1564,-7.1664,43.72,100,100,12.66,FO,1680749390
200,clyde river,70.4692,-68.5914,-14.57,76,75,6.91,CA,1680749336
201,binga,-17.6203,27.3414,69.96,68,60,3.94,ZW,1680749390
202,sibolga,1.7427,98.7792,83.39,66,96,1.34,ID,1680749370
203,tucuma,-0.1833,-50.05,75.09,88,100,6.33,BR,1680749391
204,yuzhou,34.1628,113.4639,59.7,28,100,22.08,CN,1680749391
205,upernavik,72.7868,-56.1549,-18.65,100,100,3.47,GL,1680749333
206,amuntai,-2.4177,115.2494,85.68,73,65,1.63,ID,1680749391
207,byron bay,-28.65,153.6167,77.7,69,73,10.6,AU,1680749268
208,cayenne,4.9333,-52.3333,77.04,78,0,4.61,GF,1680749332
209,lagoa,39.05,-27.9833,58.62,88,59,7.43,PT,1680749365
210,gradistea,44.2333,27.2167,40.1,73,100,8.01,RO,1680749391
211,mrakovo,52.7161,56.6244,38.77,84,39,2.62,RU,1680749391
212,omboue,-1.5746,9.2618,78.58,87,100,6.53,GA,1680749391
213,esperance,-33.8667,121.9,66.16,64,85,17.18,AU,1680749338
214,bacolod,10.6667,122.95,86.07,52,50,10.89,PH,1680749391
215,oksfjord,70.2396,22.3479,39.38,82,100,10.22,NO,1680749391
216,bethel,41.3712,-73.414,47.64,89,100,4.61,US,1680749325
217,dunedin,-45.8742,170.5036,47.8,70,85,15.01,NZ,1680749391
218,totness,5.8833,-56.3167,77.04,78,42,10.4,SR,1680749391
219,evensk,61.95,159.2333,23.56,83,100,2.84,RU,1680749330
220,kerrville,30.0474,-99.1403,62.94,33,40,6.91,US,1680749392
221,sechelt,49.4664,-123.7694,48.81,69,100,7.92,CA,1680749127
222,cap malheureux,-19.9842,57.6142,75.47,77,7,1.99,MU,1680749336
223,anau,-16.5167,-151.7333,83.23,68,11,6.15,PF,1680749392
224,bera,24.0833,89.6167,84.22,51,0,2.73,BD,1680749392
225,gangtok,27.3333,88.6167,62.85,41,2,2.55,IN,1680749392
226,yulara,-25.2406,130.9889,88.59,22,0,12.91,AU,1680749327
227,geraldton,-28.7667,114.6,79.21,29,0,12.66,AU,1680749341
228,darnah,32.767,22.6367,57.76,70,89,12.95,LY,1680749377
229,alzamay,55.5562,98.6644,30.85,65,100,5.32,RU,1680749392
230,auki,-8.7676,160.7034,85.8,64,100,5.1,SB,1680749368
231,kihei,20.785,-156.4656,79.97,76,0,23.02,US,1680749392
232,barcelos,41.5388,-8.6151,56.84,64,40,4.34,PT,1680749392
233,biltine,14.5333,20.9167,82.8,11,57,13.42,TD,1680749392
234,lathi,21.7167,71.3833,79.65,42,27,9.78,IN,1680749392
235,mackenzie,55.2999,-123.1698,43.02,42,75,9.22,CA,1680749128
236,nantucket,41.2835,-70.0995,51.15,98,100,0.0,US,1680749393
237,marsa matruh,31.3525,27.2453,53.8,87,0,3.44,EG,1680749393
238,pacific grove,36.6177,-121.9166,55.35,79,0,14.0,US,1680749330
239,sioux lookout,50.1001,-91.917,14.07,85,100,6.91,CA,1680749393
240,kavieng,-2.5744,150.7967,82.44,77,87,8.63,PG,1680749393
241,tocache,-8.1842,-76.5125,70.38,98,81,0.69,PE,1680749393
242,bama,11.5221,13.6856,78.31,12,99,3.33,NG,1680749393
243,pangnirtung,66.1451,-65.7125,-2.25,85,100,3.67,CA,1680749393
244,vila,42.0304,-8.1588,45.48,69,55,4.12,PT,1680749352
245,jitauna,-14.0189,-39.8889,70.77,99,91,0.56,BR,1680749393
246,willmar,45.1219,-95.0433,24.82,80,100,24.16,US,1680749393
247,saint george,37.1041,-113.5841,48.79,25,0,12.66,US,1680749129
248,taoudenni,22.6783,-3.9836,70.41,28,0,8.57,ML,1680749394
249,aswan,24.0934,32.907,67.3,22,0,5.75,EG,1680749394
250,ekhabi,53.5102,142.9671,36.64,63,3,8.95,RU,1680749394
251,kingsland,30.8,-81.6898,75.13,83,60,5.28,US,1680749347
252,mitsamiouli,-11.3847,43.2844,80.15,76,29,4.03,KM,1680749394
253,haines junction,60.7522,-137.5108,39.15,56,100,4.61,CA,1680749056
254,alegrete,-29.7831,-55.7919,69.6,70,100,13.71,BR,1680749394
255,bubaque,11.2833,-15.8333,77.43,72,4,16.04,GW,1680749372
256,batu,-7.87,112.5283,77.86,67,68,2.15,ID,1680749394
257,mancio lima,-7.6142,-72.8958,71.58,98,93,2.35,BR,1680749394
258,salalah,17.0151,54.0924,78.89,47,0,2.3,OM,1680749332
